Id,Name,City,State,lat,lon,County,Users,LoggedInUsers,TakingCourses,InAdmin,TakingTests,ITSOn,S3On
3175,Chemed Health,Lakewood,NJ,40.092024,-74.21219646,Ocean County,516,335,244,10,154,False,True
6450,Kings Daughters Medical Center,Ashland,KY,38.4784144,-82.6379387,Boyd County,209,192,86,13,151,False,True
6455,Willis Knighton Health System,Shreveport,LA,32.4707862,-93.7559378,Caddo Parish,174,33,26,2,3,False,True
3044,New England Quality Care Alliance,Braintree,MA,42.2064195,-71.005067,Norfolk County,706,148,74,5,22,True,True
3111,Menno Haven Retirement Community,Chambersburg,PA,39.9405903,-77.6598624,Franklin County,184,25,7,1,4,True,False
3127,TOLEDOCLINIC,Toledo,OH,41.6529143,-83.5378173,Lucas County,788,661,224,6,165,True,True
6529,Pueblo Community Health Center,Pueblo,CO,38.2544472,-104.609141,Pueblo County,783,148,50,7,121,False,True
6532,Pueblo Community Health Center,PUeblo,CO,38.2544472,-104.609141,Pueblo County,607,109,90,1,19,False,True
6539,Water Street Health Services,Lancaster,PA,40.03813,-76.3056686,Lancaster County,539,318,133,25,289,False,False
6548,TriCounty Hospital,Wadena,MN,46.4424614,-95.1361386,Wadena County,872,52,37,3,7,False,True
6613,Center For Family Health,Jackson,MI,42.2465036,-84.4016963,Jackson County,854,725,485,72,101,False,False
6615,Rome Memorial Hospital,Rome,NY,44.4406028,-73.6881949,Essex County,169,121,88,12,62,False,True
6638,Lakes Region Mental Health Center,Laconia,NH,43.5278546,-71.470351,Belknap County,410,114,50,4,15,False,True
6650,Ohio Surgery Center,Columbus,OH,39.9622601,-83.0007065,Franklin County,523,345,113,10,331,False,False
6708,New Bridge Medical Center,Paramus,NJ,40.9452911,-74.0735899,Bergen County,448,58,55,1,19,True,False
7352,ProHealth Care,Waukesha,WI,43.0116784,-88.2314813,Waukesha County,86,72,30,6,58,False,True
6681,Madera Hospital,Madera,CA,36.9622745,-120.0594685,Madera County,725,152,82,3,1,False,True
7417,Ivinson Memorial Hospital,Laramie,WY,41.311367,-105.591101,Albany County,410,118,60,11,15,True,False
7446,Mobile County Health Department,Mobile,AL,30.6867339,-88.0848929,Mobile County,650,13,10,0,4,False,True
7447,Kirkwood Community College,Cedar Rapids,IA,41.9758872,-91.6704053,Linn County,871,17,15,1,10,True,False
7450,Abbeville Area Medical Center,Abbeville,SC,34.1779495,-82.3792463,Abbeville County,485,431,323,12,306,False,False
7473,Memorial Hospital & Health Care Center,Jasper,IN,38.3914228,-86.9308719,Dubois County,210,21,4,0,4,False,True
7478,Covington County Hospital,Collins,MS,31.6446155,-89.5559859,Covington County,745,96,71,2,2,False,True
7580,Hudson Physicians,Hudson,WI,44.9751273,-92.7556281,Saint Croix County,850,212,2,10,101,False,False
6758,Healthcare for the Homeless,Baltimore,MD,39.2908816,-76.610759,,681,34,5,1,18,False,True
3133,tamhsc,Bryan,TX,30.6743643,-96.3699632,Brazos County,755,732,204,51,161,False,False
3134,wchn,Danbury,CT,41.3954565,-73.47449035,Fairfield County,116,54,19,5,38,False,False
7600,Palmetto Infusion Services,Pawleys Island,SC,33.4293486,-79.1215912,Georgetown County,985,413,177,16,326,False,True
7609,Perry County Health System,Perryville,MO,37.7275127,-89.8645455,Perry County,295,259,150,25,160,False,False
7611,Stella Maris,Timonium,MD,39.4368436,-76.6187044,Baltimore County,771,169,91,11,121,False,True
7633,Clinton Indian Hospital Center,Clinton,OK,35.5156056,-98.9673069,Custer County,977,810,785,32,753,True,False
7634,Families First Counseling and Psychiatry,Greenbelt,MD,39.004607,-76.8756838,Prince George's County,164,8,5,0,4,True,True
7647,Trinitas Regional Medical Center,Elizabeth,NJ,40.6639916,-74.2107006,Union County,636,610,109,6,597,False,False
7650,Independence Health Systems Inc,Perryville,MO,37.7275127,-89.8645455,Perry County,541,113,22,11,41,True,False
7660,Mid-Columbia Medical Center,The Dalles,OR,45.6015056,-121.1841587,Wasco County,446,392,360,19,39,True,True
7661,Wewoka Indian Health Services,Wewoka,OK,35.1511643,-96.4935513,Seminole County,950,437,410,21,30,False,False
7711,Pomerene Hospital,Millersburg,OH,40.5545071,-81.9179198,Holmes County,887,257,179,5,177,False,True
7722,Memorial Hospital of Sweetwater County,Rock Springs,WY,41.5860557,-109.2194544,Sweetwater County,929,204,67,20,26,True,False
7798,Shannon Health,San Angelo,TX,31.4649685,-100.4405094,Tom Green County,807,516,232,25,108,False,False
7891,Vivant Health MSO,Sacramento,CA,38.5810606,-121.493895,Sacramento County,120,44,10,2,15,False,False
7969,On With Life at Ankeny,Ankeny,IA,41.7320796,-93.605092,Polk County,727,603,211,18,319,False,True
8036,bergennewbridge,Paramus,NJ,40.9452911,-74.0735899,Bergen County,620,384,226,26,261,True,True
8234,Butler Ambulatory Surgery Center,Butler,PA,40.86108,-79.895197,Butler County,797,366,318,3,14,False,True
7027,Primary Care & Hope Clinic,Murfreesboro,TN,35.8460396,-86.3921096,Rutherford County,863,414,128,33,235,False,False
7028,Bergen County Health Care Center,Rockleigh,NJ,41.0003754,-73.9304141,Bergen County,483,357,67,14,189,False,False
8311,Stokes County Health Department,Danbury,NC,35.70967995,-78.80406462,Wake County,121,95,62,6,84,True,True
8324,The Surgery Center of Huntsville,Huntsville,AL,34.729847,-86.5859011,Madison County,126,32,30,0,22,False,False
8342,Brookdale Recovery,Scotrun,PA,41.0659243,-75.3199055,Monroe County,458,201,66,18,148,False,False
8346,Children's Home of Wyoming Conference,Binghamton,NY,42.0987125,-75.9125262,Broome County,876,481,221,19,404,True,False
8347,St Vincent General Hospital District,Leadville,CO,39.2465755,-106.2953621,Lake County,895,232,146,4,190,True,True
8415,McBride Orthopedic Hospital,Oklahoma City,OK,35.4729886,-97.5170536,Oklahoma County,421,235,79,18,28,True,False
8486,Community Memorial Hospital,Hamilton,NY,42.824484,-75.548657,Madison County,859,859,859,17,438,True,False
8527,Signature Health Brockton Hospital,Brockton,MA,42.0834335,-71.0183787,Plymouth County,760,600,306,60,540,True,False
8559,Contra Costa County,Martinez,CA,38.0138934,-122.1338674,Contra Costa County,813,357,249,28,128,False,True
8595,Ashley Treatment Center,Grace,MD,39.5437551,-76.1062549,Harford County,365,302,184,15,12,False,False
8601,Barrett Hospital & Healthcare,Dillon,MT,45.2141249,-112.6346079,Beaverhead County,458,137,112,5,93,True,False
8629,La Rabida Childrens Hospital,Chicago,IL,41.8755616,-87.6244212,Cook County,502,461,414,13,308,False,False
8749,Kittson Healthcare,Hallock,MN,48.7744263,-96.946447,Kittson County,938,28,26,2,25,True,True
8903,The Appalachian District Health Department,Boone,NC,36.2165362,-81.6746158,Watauga County,936,299,245,17,278,False,True
8904,Wilkes County Health Department,Wilkesboro,NC,36.145965,-81.1606401,Wilkes County,664,571,85,39,468,False,False
8915,Community Memorial Hospital,Summer,IA,40.79581275,-91.11472216,Des Moines County,240,228,177,9,141,True,True
8921,Grundy County Memorial Hospital,Grundy Center,IA,42.3616501,-92.7685327,Grundy County,537,520,156,26,338,False,False
8908,Culpeper Medical Center,Culpeper,VA,38.4733823,-77.9961275,Culpeper County,347,117,37,5,9,True,True
8925,Trinitas Test Site,Boston,MA,42.3554334,-71.060511,Suffolk County,861,749,396,44,569,True,True
8926,Centers Urgent Care,Brooklyn,NY,40.6526006,-73.9497211,Queens County,427,273,21,5,38,False,True
8929,Riverside Reports Database,Boston,MA,42.3554334,-71.060511,Suffolk County,418,288,132,14,95,True,False
8940,PCHC Test Site,Boston,MA,42.3554334,-71.060511,Suffolk County,373,26,22,1,20,False,True
8943,MELMARKTEST,Boston,MA,42.3554334,-71.060511,Suffolk County,128,34,19,0,32,True,False
8945,Baptist Health Deaconess Madisonville,Madisonville,KY,37.3280037,-87.4986989,Hopkins County,180,91,16,1,72,False,True
8950,Community Memorial Test,Boston,MA,42.3554334,-71.060511,Suffolk County,184,88,51,8,8,False,False
8958,Baptist Health Deaconess Madisonville,Madisonville,KY,37.3280037,-87.4986989,Hopkins County,381,95,41,8,1,False,True
8965,Wayne Memorial Hospital Test,Boston,MA,42.3554334,-71.060511,Suffolk County,398,35,3,3,4,False,True
8966,TIFT TEST SITE,Boston,MA,42.3554334,-71.060511,Suffolk County,592,11,6,0,0,True,False
6371,Muskingum Valley Health Centers,Zanesville,OH,39.9403453,-82.0131924,Muskingum County,242,106,85,3,36,False,True
6690,Southwest Gastroenterology Associates,Albuquerque,NM,35.0841034,-106.650985,Bernalillo County,207,155,91,13,41,True,True
6691,Community Health Centers of the Rutland Region,Rutland,VT,43.6063341,-72.9802745,Rutland County,163,148,127,7,51,False,True
6726,United Methodist Communities of New Jersey,Neptune,NJ,40.214297,-74.065706,Monmouth County,1011,252,45,5,60,True,False
8291,Continuous Home Care,Havertown,PA,39.9809452,-75.3085201,Delaware County,593,569,170,5,125,True,True
